Weights,1,2,3,4,5,6,7,8,,1_w,2_w,3_w,4_w,5_w,6_w,7_w,8_w
2.05E-14,0.021265759,0.016542561,0.019985439,0.014970036,0.016347156,0.018547623,0.012912324,0.022728129,,4.36E-16,3.52E-04,3.31E-04,2.99E-04,2.45E-04,3.03E-04,2.39E-04,2.93E-04
0,0.020856253,0.008048353,0.018214363,0.017921964,0.022774884,0.011711029,0.023048458,0.030715338,,0.00E+00,1.68E-04,1.47E-04,3.26E-04,4.08E-04,2.67E-04,2.70E-04,7.08E-04
0,0.020788162,0.001546008,0.016163714,0.01488865,0.027162572,0.019264782,0.025987734,0.032275373,,0.00E+00,3.21E-05,2.50E-05,2.41E-04,4.04E-04,5.23E-04,5.01E-04,8.39E-04
9.20E-14,0.019349277,-0.000581801,0.012315089,0.008935055,0.020321431,0.015988351,0.022489239,0.026474533,,1.78E-15,-1.13E-05,-7.16E-06,1.10E-04,1.82E-04,3.25E-04,3.60E-04,5.95E-04
0,0.003865862,0.01407951,0.016585794,0.022194105,0.019799146,0.021488477,0.019676683,0.036952764,,0.00E+00,5.44E-05,2.34E-04,3.68E-04,4.39E-04,4.25E-04,4.23E-04,7.27E-04
0,0.029615989,0.01930107,0.020524718,0.021061172,0.024335798,0.024594148,0.011861192,0.023264841,,0.00E+00,5.72E-04,3.96E-04,4.32E-04,5.13E-04,5.99E-04,2.92E-04,2.76E-04
3.85E-14,0.01145041,0.015744575,0.011511587,0.040622328,0.01298408,0.014935787,0.010602783,0.021429292,,4.41E-16,1.80E-04,1.81E-04,4.68E-04,5.27E-04,1.94E-04,1.58E-04,2.27E-04
0,0.020379864,0.022747187,0.020873341,0.024547641,0.01949961,0.019930844,0.013303512,0.032053887,,0.00E+00,4.64E-04,4.75E-04,5.12E-04,4.79E-04,3.89E-04,2.65E-04,4.26E-04
0,0.026254437,0.016948994,0.020857118,0.021113543,0.026677747,0.026515971,0.014314063,0.024517892,,0.00E+00,4.45E-04,3.54E-04,4.40E-04,5.63E-04,7.07E-04,3.80E-04,3.51E-04
0,0.025940697,0.014521148,0.017173439,0.014548732,0.020164921,0.02291119,0.01197935,0.017094959,,0.00E+00,3.77E-04,2.49E-04,2.50E-04,2.93E-04,4.62E-04,2.74E-04,2.05E-04
0,0.033523764,0.023046518,0.022434718,0.021688432,0.026992441,0.028513502,0.022044534,0.021015433,,0.00E+00,7.73E-04,5.17E-04,4.87E-04,5.85E-04,7.70E-04,6.29E-04,4.63E-04
2.92E-15,0.008909783,0.001784729,-0.005753453,0.008291677,0.015272774,0.025397177,0.012669446,0.038579633,,2.60E-17,1.59E-05,-1.03E-05,-4.77E-05,1.27E-04,3.88E-04,3.22E-04,4.89E-04
0,0.019822387,0.019283447,0.03029087,0.011766383,0.037948973,0.019630453,0.030298083,0.031902612,,0.00E+00,3.82E-04,5.84E-04,3.56E-04,4.47E-04,7.45E-04,5.95E-04,9.67E-04
1.90E-15,0.017087838,0.015010995,0.032054617,0.009704236,0.032553084,0.015882738,0.029060838,0.030667421,,3.25E-17,2.57E-04,4.81E-04,3.11E-04,3.16E-04,5.17E-04,4.62E-04,8.91E-04
6.95E-15,0.004871233,-0.000214075,-0.005925204,0.008046051,0.01627701,0.027449449,0.01502171,0.042657456,,3.39E-17,-1.04E-06,1.27E-06,-4.77E-05,1.31E-04,4.47E-04,4.12E-04,6.41E-04
1.13E-14,0.011334071,0.003838828,-0.002726315,0.00962276,0.01596967,0.025805148,0.01256331,0.039696725,,1.28E-16,4.35E-05,-1.05E-05,-2.62E-05,1.54E-04,4.12E-04,3.24E-04,4.99E-04
0,0.020792467,0.018775091,0.034970523,0.012366737,0.034710209,0.01736157,0.02886792,0.03071727,,0.00E+00,3.90E-04,6.57E-04,4.32E-04,4.29E-04,6.03E-04,5.01E-04,8.87E-04
9.88E-14,0.001656716,-0.00289155,-0.008657469,0.006971455,0.02222989,0.035499682,0.017595575,0.036852869,,1.64E-16,-4.79E-06,2.50E-05,-6.04E-05,1.55E-04,7.89E-04,6.25E-04,6.48E-04
0,0.025842828,0.01174475,-0.000768837,0.011803837,0.022112821,0.030374684,0.007169828,0.017266812,,0.00E+00,3.04E-04,-9.03E-06,-9.08E-06,2.61E-04,6.72E-04,2.18E-04,1.24E-04
1.34E-14,0.005701254,0.006292452,0.021875736,0.001748972,0.032149963,0.01065846,0.024145329,0.026001069,,7.64E-17,3.59E-05,1.38E-04,3.83E-05,5.62E-05,3.43E-04,2.57E-04,6.28E-04
0,-0.002193952,0.005488568,-0.005295433,0.013704288,0.020502861,0.031491603,0.017454769,0.0392929,,0.00E+00,-1.20E-05,-2.91E-05,-7.26E-05,2.81E-04,6.46E-04,5.50E-04,6.86E-04
6.03E-16,0.007682818,-0.002923016,-0.014595726,-0.002680248,0.010144636,0.02976235,0.011073743,0.028019202,,4.63E-18,-2.25E-05,4.27E-05,3.91E-05,-2.72E-05,3.02E-04,3.30E-04,3.10E-04
6.39E-14,0.017528508,0.001011033,-0.011385736,-0.002184114,0.010589427,0.029248277,0.007631186,0.021575588,,1.12E-15,1.77E-05,-1.15E-05,2.49E-05,-2.31E-05,3.10E-04,2.23E-04,1.65E-04
0,0.022775833,0.022476483,0.038364602,0.019125498,0.041603305,0.020364086,0.024786867,0.0265738,,0.00E+00,5.12E-04,8.62E-04,7.34E-04,7.96E-04,8.47E-04,5.05E-04,6.59E-04
4.78E-14,0.012782684,0.000724059,-0.011536264,-0.0010338,0.009855018,0.028296895,0.00920072,0.026315874,,6.11E-16,9.26E-06,-8.35E-06,1.19E-05,-1.02E-05,2.79E-04,2.60E-04,2.42E-04
0,0.012787945,-0.001159385,-0.013048241,-0.002069802,0.016083864,0.036269661,0.010866417,0.019237775,,0.00E+00,-1.48E-05,1.51E-05,2.70E-05,-3.33E-05,5.83E-04,3.94E-04,2.09E-04
0,0.001907948,-0.00495927,-0.011820751,0.001466338,0.016005779,0.027229853,0.013662843,0.027173077,,0.00E+00,-9.46E-06,5.86E-05,-1.73E-05,2.35E-05,4.36E-04,3.72E-04,3.71E-04
5.71E-15,0.029409695,0.008664287,-0.001704907,0.007099983,0.021023371,0.030824939,0.012982512,0.020276844,,1.68E-16,2.55E-04,-1.48E-05,-1.21E-05,1.49E-04,6.48E-04,4.00E-04,2.63E-04
0,0.014619071,0.014416787,0.017395335,0.009045864,0.032389925,0.012619785,0.02449826,0.022236486,,0.00E+00,2.11E-04,2.51E-04,1.57E-04,2.93E-04,4.09E-04,3.09E-04,5.45E-04
0,0.023381004,0.012897963,-0.001556038,0.009127065,0.016664917,0.025294718,0.011725218,0.021717914,,0.00E+00,3.02E-04,-2.01E-05,-1.42E-05,1.52E-04,4.22E-04,2.97E-04,2.55E-04
3.65E-14,0.01829665,0.0035765,-0.00338543,0.007512054,0.024812581,0.036234761,0.01747394,0.025910909,,6.68E-16,6.54E-05,-1.21E-05,-2.54E-05,1.86E-04,8.99E-04,6.33E-04,4.53E-04
