Iceland,lc,lgdp,c,ca,i,g,bci,ur,b10,wi
-0.003764313,244307,0.02788314,244591,1.64,53900,114504,594.70001,4.8000002,2.6300001,456.39999
0.021101153,244591,-0.003764313,248983,4.5999999,44715,115007,595,3.7,2.4300001,457.5
0.026138777,248983,0.021101153,251799,4.5799999,49331,116517,594.79999,3.9000001,2.79,463.10001
-0.041601971,251799,0.026138777,255900,-1.14,53700,118435,596.29999,4.6999998,3.1600001,468.5
0.047701564,255900,-0.041601971,259890,,48425,120726,601.20001,4.5,3.1700001,478.39999
0.056749366,259890,0.047701564,264464,,65262,122434,604.70001,3.4000001,3.3,484.70001
0.024175089,264464,0.056749366,267696,,58514,123256,603.59998,3.5,3.1800001,493.79999
0.014265054,267696,0.024175089,268298,,70396,126898,605.70001,3.3,2.8099999,498.10001
0.03616685,268298,0.014265054,272549,,73066,128068,616.5,3.5999999,2.79,503.20001
-0.006539212,272549,0.03616685,277829,,71596,131955,620.40002,3.3,2.45,523
0.013156907,277829,-0.006539212,283694,,83591,135715,640.59998,2.4000001,2.5799999,532.90002
0.007192503,283694,0.013156907,289912,,90250,136258,642.40002,2.5999999,2.72,545
0.048128091,289912,0.007192503,295966,,97715,138904,643.20001,2.5999999,2.8399999,570.40002
0.038969968,295966,0.048128091,297677,,89255,140785,661.09998,2.4000001,2.8499999,581.90002
0.041323878,297677,0.038969968,303544,,90410,143221,657.29999,2.0999999,2.7,588.29999
